id_question,semester,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32,n33,n34,n35,n36,n37,n38,n39,n40,n41,n42,n43,n44,n45,,,,,,
15,2019-2,0.88,0.88,0.50,1.00,0.50,0.50,0.63,0.63,1.00,0.88,0.50,0.63,0.63,0.38,0.75,0.88,0.25,0.50,0.63,0.38,0.38,0.38,0.50,0.38,0.38,0.63,0.88,0.63,0.75,0.38,0.50,0.63,0.25,0.38,0.38,0.75,,,,,,,,,,,,,,,
15,2022-1,0.75,0.38,1.00,0.50,0.50,0.63,0.75,0.63,1.00,0.50,1.00,0.25,0.63,0.38,1.00,0.75,0.38,1.00,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2022-2,0.25,0.25,0.25,0.25,0.25,0.50,0.50,0.58,0.17,0.42,0.33,0.08,0.17,0.42,0.25,0.50,0.50,0.33,0.33,0.25,0.17,0.33,0.67,0.17,0.33,0.33,0.67,0.33,0.25,0.42,0.50,0.25,0.17,1.00,0.25,0.25,0.25,0.25,0.42,0.08,0.58,0.25,,,,,,,,,
15,2023-2,0.50,0.88,0.38,0.50,0.25,1.00,0.38,0.25,0.63,0.38,0.50,0.75,0.38,0.38,0.63,0.50,0.63,0.25,0.50,0.38,0.50,0.50,0.50,0.38,0.50,0.38,0.63,0.50,0.75,1.00,0.38,0.38,0.38,0.63,0.38,0.75,0.63,0.63,,,,,,,,,,,,,
16,2019-2,0.75,0.92,0.33,0.83,0.92,0.33,1.00,0.33,0.58,0.67,0.67,0.83,0.42,0.67,0.67,0.67,0.67,0.75,0.67,0.75,0.67,0.50,0.17,0.67,0.75,0.83,1.00,0.75,1.00,0.75,0.67,0.92,0.67,1.00,0.75,0.92,,,,,,,,,,,,,,,
16,2023-2,0.67,0.92,0.75,0.83,1.00,0.83,0.33,0.00,0.92,0.83,1.00,0.00,0.58,0.83,0.58,0.83,0.92,0.33,0.83,0.75,0.67,0.75,0.58,0.58,0.67,0.75,0.67,0.75,0.92,1.00,1.00,0.92,0.83,0.92,0.17,0.58,0.92,0.67,,,,,,,,,,,,,
17,2019-1,0.88,1.00,0.88,1.00,0.88,0.88,1.00,0.88,0.75,1.00,0.88,0.88,1.00,0.63,0.88,0.88,0.88,0.50,0.75,0.88,1.00,0.88,1.00,0.88,0.88,1.00,1.00,1.00,1.00,0.88,0.88,0.88,0.63,0.88,0.75,,,,,,,,,,,,,,,,
17,2023-1,0.88,0.75,1.00,1.00,0.88,0.88,1.00,1.00,0.88,1.00,0.88,0.88,0.63,0.88,1.00,1.00,0.75,0.88,1.00,1.00,1.00,0.88,1.00,0.88,0.75,1.00,0.88,1.00,1.00,1.00,0.88,0.88,1.00,0.88,0.88,0.88,0.88,1.00,0.88,0.88,0.88,1.00,1.00,0.75,0.88,,,,,,
18,2019-2,1.00,0.88,0.75,0.75,1.00,0.75,1.00,1.00,0.63,0.63,0.50,1.00,0.88,0.50,0.88,0.75,0.75,1.00,0.75,0.25,0.75,0.63,0.00,0.88,0.75,1.00,1.00,0.88,0.50,0.63,0.88,1.00,0.88,1.00,0.75,0.88,,,,,,,,,,,,,,,
18,2022-1,0.50,0.88,1.00,0.75,0.88,0.88,0.00,0.88,0.63,0.25,1.00,0.25,0.38,0.88,1.00,0.63,0.63,1.00,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2022-2,0.33,0.33,0.67,0.67,0.67,1.00,0.83,1.00,1.00,0.83,1.00,1.00,0.83,1.00,0.50,0.83,0.67,0.33,0.83,1.00,0.67,0.83,1.00,0.83,1.00,1.00,1.00,1.00,0.67,1.00,1.00,1.00,1.00,0.83,0.83,0.83,0.50,0.83,1.00,0.83,1.00,1.00,,,,,,,,,
19,2019-2,0.67,1.00,0.67,1.00,1.00,0.84,0.84,0.84,0.67,0.67,1.00,1.00,1.00,0.67,0.34,0.67,0.67,1.00,0.50,0.50,0.67,0.50,0.17,1.00,1.00,1.00,0.84,1.00,1.00,0.84,0.84,1.00,0.67,0.84,0.67,0.50,,,,,,,,,,,,,,,
19,2022-1,0.70,0.85,0.85,0.35,0.85,1.00,0.85,0.85,0.85,0.70,1.00,0.70,0.85,0.35,0.70,0.70,0.85,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2022-2,0.85,1.00,0.85,1.00,0.70,1.00,1.00,1.00,0.70,1.00,0.70,0.85,0.70,1.00,0.70,0.50,1.00,0.70,0.85,0.35,0.85,1.00,0.85,0.85,0.50,1.00,1.00,1.00,1.00,1.00,0.85,1.00,1.00,1.00,0.85,0.70,0.65,0.85,0.85,0.35,0.85,1.00,,,,,,,,,
19,2023-2,0.34,1.00,0.50,0.84,0.84,0.68,0.50,0.34,0.68,1.00,1.00,0.34,0.68,0.50,0.68,0.50,0.84,1.00,0.50,1.00,0.68,1.00,0.68,1.00,0.50,1.00,1.00,0.34,1.00,1.00,0.84,0.68,0.84,1.00,0.34,0.50,0.68,0.84,,,,,,,,,,,,,
20,2019-2,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.50,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.50,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.50,1.00,1.00,0.00,,,,,,,,,,,,,,,
20,2022-1,1.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2022-2,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,,,,,,,,,
